genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Acidovorax lacteus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,15,25,42,2422607,67.14747400835391,3608569,RS_GCF_039540375.1,3228701,89.47316789563952,SAMD00645691,none,none,none,TRUE,0,Acidovorax lacteus,none,3,49,3206,19,49,100,0.03
Acidovorax soli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,10,30,42,2669915,64.64336187174398,4130223,RS_GCF_900107605.1,3689913,89.33931654537781,SAMN05421875,none,none,none,TRUE,1,Acidovorax soli,3853,3,48,3851,19,49,99.99,0.46
Acinetobacter apis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,15,25,30,924374,38.29858990602412,2413782,RS_GCF_900197575.1,2129373,88.21728722809267,SAMN05444584,none,none,none,TRUE,1,Acinetobacter apis,2175,6,59,2193,19,59,99.95,0.02
Acinetobacter lactucae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,15,30,44,1439853,38.991865304014595,3692701,RS_GCF_013344765.1,3288081,89.04270884645142,SAMN15105073,USA,feces,27.150074 N 81.197077 W,TRUE,1,Acinetobacter lactucae,none,3,59,3552,19,60,100,0.4
Acinetobacter larvae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,10,32.5,45,1557800,41.64018157236191,3741098,RS_GCF_001704115.1,3158067,84.4155111681116,SAMN05520995,China,none,21.55 N 100.45 E,TRUE,1,Acinetobacter larvae,3236,21,76,3252,19,77,100,0.04
Acinetobacter oleivorans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,20,30,37,1522500,38.51253826590625,3953258,RS_GCF_020179085.1,3472823,87.84711243232798,SAMN20132761,Australia: Sydney,rhizosphere,none,FALSE,1,Acinetobacter oleivorans,none,5,61,3642,19,61,100,0.02
Acinetobacter piscicola,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,4,26.5,32,1328938,37.16272692622505,3576146,RS_GCF_002233755.1,3038483,84.96529504108614,SAMN07184470,China: Zhejiang Province; Yueqing City; Dajing Town,external lesions of diseased farmed Murray cod,none,TRUE,1,Acinetobacter piscicola,3268,4,71,3281,19,71,100,0.2
Acinetobacter puyangensis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,10,30,41,1523867,40.23086187624181,3787993,RS_GCF_039542245.1,3310042,87.38247404364263,SAMD00645769,none,none,none,TRUE,1,Acinetobacter puyangensis,none,3,59,3455,19,59,100,1.19
Acinetobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,10,30,40,1435797,43.11116235539129,3330453,RS_GCF_000760595.1,2961833,88.93183599948716,SAMD00019893,none,none,none,TRUE,1,Acinetobacter soli,3103,3,62,3111,19,63,100,0.05
Actibacterium atlanticum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,10,28,41,1875431,59.04297435164462,3176383,RS_GCF_000671395.1,2922007,91.99164584371594,SAMN02742681,none,deep sea sediment from the Atlantic Ocean,none,TRUE,0,Actibacterium atlanticum,3123,3,44,3153,19,44,99.97,0.08
Actibacterium pelagium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,10,30,35,2020520,57.82744952132912,3494482,RS_GCF_002285415.1,3179017,90.97248175838364,SAMN07514660,Pacific Ocean: Western Pacific Ocean,seawater,none,TRUE,0,Actibacterium pelagium,3318,15,55,3373,19,55,99.99,0.19
Actibacterium ureilyticum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,15,30,40,2664902,64.28737537681266,4145296,RS_GCF_002285435.1,3764288,90.80866601564762,SAMN07514661,China: South China Sea,seawater,21.60 N 118.19 E,TRUE,0,Actibacterium ureilyticum,4052,15,52,4070,19,52,99.89,0.24
Actinoallomurus oryzae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,21,35.5,45,7822649,70.95675734022221,11024969,RS_GCF_039541955.1,9782760,88.73276650483099,SAMD00645755,none,none,none,TRUE,0,Actinoallomurus oryzae,none,3,73,10160,19,75,98.69,4.96
Actinoalloteichus hoggarensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,20,30,37,4700500,71.14728843387722,6606717,RS_GCF_002234535.1,5421373,82.05850197609493,SAMN07353059,Algeria: Tamanrasset,soil,22.78333 N 5.51667 E,TRUE,0,Actinoalloteichus hoggarensis,5571,9,48,5543,19,49,100,0.36
Actinoalloteichus spitiensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,20,25,37,4134400,72.45028243063128,5706534,RS_GCF_000239155.1,4803069,84.16788544500042,SAMN02470010,India,soil from cold desert of the Indian Himalayas,none,TRUE,0,Actinoalloteichus spitiensis RMV-1378,5014,3,46,5254,19,46,92.7,1.61
Actinobacillus capsulatus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,25,37,42,1048335,40.00393042761526,2621135,RS_GCF_000374285.1,2318944,88.47098680533433,SAMN02441362,Sri Lanka,none,none,TRUE,1,Actinobacillus capsulatus DSM 19761,2506,5,50,2533,18,51,100,0.02
Actinobacillus lignieresii,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,20,37,39,926251,41.414831971097954,2236520,RS_GCF_900444945.1,1974608,88.28930660132706,SAMEA4384238,none,none,none,TRUE,1,Actinobacillus lignieresii,none,20,61,2082,19,61,100,0.37
Actinobacillus ureae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,25,37,40,988387,39.93794263552673,2474807,RS_GCF_900445035.1,2118438,85.60012962626985,SAMEA3222077,none,none,none,FALSE,1,Actinobacillus ureae,none,19,65,2654,19,65,100,0.24
Actinobaculum suis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,30,22.5,43,1272650,57.83439907257737,2200507,RS_GCF_900102025.1,1873049,85.11897485443127,SAMN05421878,none,none,none,TRUE,0,Actinobaculum suis,1705,6,45,1736,19,45,95.53,0.36
Actinocatenispora rupis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora,25,37,42,5704859,72.84877548461276,7831098,RS_GCF_016861975.1,6906777,88.19678926250188,SAMD00229055,South Korea:Jeju; Mara Island,Soil of cliff,none,TRUE,0,Actinocatenispora rupis,none,3,68,7231,18,68,96.81,0.77
Actinocatenispora sera,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora,13,21.5,37,5116109,72.62828144080311,7044238,RS_GCF_018324685.1,6167377,87.55208157362088,SAMD00219687,none,none,none,TRUE,0,Actinocatenispora sera,none,6,75,6507,19,74,96.79,1.49
Actinocorallia aurantiaca,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,10,26.5,30,5514521,70.73954451834436,7801281,RS_GCF_039533685.1,6986374,89.55418988240521,SAMD00645391,none,none,none,TRUE,0,Actinocorallia aurantiaca,none,2,54,7369,19,54,100,1.16
Actinocorallia glomerata,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,7,29,41,2394333,69.54571239440702,3444917,RS_GCF_039534105.1,3102221,90.05212607444534,SAMD00645413,none,none,none,TRUE,0,Actinocorallia glomerata,none,7,47,3016,19,47,96.21,0
Actinocorallia herbida,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,12,28,38,7030591,71.73549072695207,9800715,RS_GCF_003751225.1,8742415,89.20180823541956,SAMN10363432,none,none,none,TRUE,0,Actinocorallia herbida,none,18,64,8968,19,62,99.33,2.56
Actinocorallia libanotica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,10,29,37,5960597,71.51002161761782,8336067,RS_GCF_039525175.1,7483242,89.7694560276447,SAMD00645059,none,none,none,TRUE,0,Actinocorallia libanotica,none,7,55,7936,19,55,98.76,2.73
Actinocorallia populi,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,10,28,45,5900859,71.49608125231268,8253623,RS_GCF_002995495.1,7407001,89.74241978340906,SAMN08393332,China: Sichuan; Shuangliu county,none,none,TRUE,0,Actinocorallia populi,7749,5,54,7778,19,53,100,1.23
Actinocrinis puniceicyclus,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinocrinis,13,22.5,30,4759077,70.34841042363573,6765010,RS_GCF_018283645.1,5901535,87.23616077433736,SAMN18753152,Canada: Kootenay National Park in British Columbia,Acidic Bog,none,TRUE,0,Actinocrinis puniceicyclus,none,3,47,5990,19,47,98.85,0.61
Actinocrispum wychmicini,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinocrispum,20,27,34,8205326,68.31639700731952,12011259,RS_GCF_004345645.1,10967247,91.30805521719248,SAMN10864762,none,none,none,TRUE,0,Actinocrispum wychmicini,none,5,64,10753,19,63,98.53,5.01
Actinokineospora fastidiosa,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,10,28,45,5104248,72.47448146133489,7042850,RS_GCF_014648415.1,6369451,90.43854405531852,SAMD00245342,none,none,none,TRUE,0,Actinokineospora fastidiosa,none,8,53,6416,19,49,99.65,0.01
Actinokineospora soli,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,25,37,55,4865127,72.62285406187755,6700056,GB_GCA_039541175.1,6156102,91.88135143945064,SAMD00645716,none,none,none,TRUE,0,Actinokineospora soli,none,2,74,7542,19,61,94.85,1.16
Actinomadura amylolytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,25,45,55,4951023,72.80764136984197,6800142,RS_GCF_003589885.1,5942956,87.39458676010001,SAMN10022831,China: Yunnan,geothermally heated soil,none,TRUE,0,Thermomonospora amylolytica,none,12,79,6291,19,78,99.93,0.36
Actinomadura atramentaria,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,15,32.5,42,4946917,73.73501780506233,6710579,RS_GCF_000381885.1,5962569,88.85327182646982,SAMN02441315,Japan,none,34.8743 N 138.3243 E,TRUE,0,Actinomadura atramentaria DSM 43919,6213,9,63,6263,19,62,99.37,0.88
Actinomadura cellulosilytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,25,45,55,5365872,72.7208069681368,7378730,RS_GCF_014138835.1,6479946,87.8192588697513,SAMN14908372,none,none,none,FALSE,0,Thermomonospora cellulosilytica,none,12,80,6867,19,78,100,1.23
Actinomadura citrea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,10,29,37,6498212,72.2641012153718,8992310,RS_GCF_013409045.1,8016188,89.14492494142218,SAMN05877994,none,none,none,TRUE,0,Actinomadura citrea,none,15,68,8192,19,67,98.46,1.85
Actinomadura coerulea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,10,29,37,5945514,72.59291058730707,8190213,RS_GCF_014208105.1,7281254,88.90188814381263,SAMN05878273,none,none,none,TRUE,0,Actinomadura coerulea,none,15,67,7553,19,67,97.59,1.3
Actinomadura fibrosa,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,20,37,45,7952623,72.85646138639785,10915467,RS_GCF_900659615.1,9696905,88.8363731941107,SAMEA5209065,none,soil,none,TRUE,0,Actinomadura fibrosa,none,9,75,10054,19,74,97.54,3.96
Actinomadura flavalba,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,15,28,37,4521296,73.3085614935224,6167782,RS_GCF_000374305.1,5524028,89.56263369879156,SAMN02441028,China,none,22.023 N 100.798 E,TRUE,0,Actinomadura flavalba DSM 45200,5617,6,55,5669,19,56,99.27,0.24
Actinomadura geliboluensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,20,30,45,6804130,72.22325773742146,9420971,RS_GCF_005889745.1,8387948,89.03485638582265,SAMN10791836,Turkey: Canakkale,soil,none,TRUE,0,Actinomadura geliboluensis,none,18,56,9007,19,56,95.72,6.8
Actinomadura keratinilytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,30,45,55,5346987,73.40066937949172,7284963,RS_GCF_039539665.1,6281081,86.21980646984754,SAMD00645651,none,none,none,TRUE,0,Actinomadura keratinilytica,none,3,65,6585,19,66,99.64,2.26
Actinomadura madurae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,10,32.5,45,7393504,72.09992389700389,10255144,RS_GCF_900115095.1,9238398,90.08550245613324,SAMN04489713,none,none,none,TRUE,0,Actinomadura madurae,9328,10,87,9399,19,86,97.65,1.99
Actinomadura roseirufa,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,15,28,37,6552146,72.52571024521268,9034239,RS_GCF_900659635.1,7893112,87.36886416221665,SAMEA5209064,none,mutant from ATCC 53666; isolated from a soil sample,none,TRUE,0,Actinomadura roseirufa,none,10,67,8539,19,65,97.56,2.75
Actinomadura rubrobrunea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,37,50,65,4912223,72.78010028737351,6749788,RS_GCF_030268865.1,5751888,85.2158319639076,SAMD00538318,Uzbekistan,soil,none,FALSE,0,Actinomadura rubrobrunea,none,24,63,5893,19,63,100,1.31
Actinomadura rupiterrae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,20,39.5,42,7365857,71.91508934007496,10242436,RS_GCF_024172125.1,8903703,86.9295448856112,SAMN12025773,South Korea: Jeju; Mara Island,none,33.51 N 126.52 E,TRUE,0,Actinomadura rupiterrae,none,21,61,9124,19,61,93.15,4.3
Actinomadura viridilutea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,37,50,65,4891871,72.80158203259579,6720116,GB_GCA_003001795.1,5726230,85.2102850605555,SAMN07621017,none,none,none,TRUE,0,Actinomadura viridilutea,none,7,62,5863,19,63,99.99,1.31
Actinomyces culturomici,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,28,30,37,1783847,69.62182815905894,2562402,RS_GCF_900499005.1,2258557,88.14218065705538,SAMEA4808094,none,sputum,none,TRUE,0,Actinomyces culturomici,none,4,48,2222,19,48,100,0.22
Actinomyces glycerinitolerans,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,25,30,45,2532112,68.53080989441526,3695248,RS_GCF_900098745.1,3248111,87.89967547509667,SAMEA4471185,none,none,none,TRUE,0,Actinomyces glycerinitolerans,3016,9,49,3054,19,49,100,0.83
Actinomyces haliotis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,20,30,37,1933217,72.17705699256693,2678437,RS_GCF_015355765.1,2360905,88.14487703089526,SAMN16125139,South Korea,none,none,TRUE,0,Actinomyces haliotis,none,6,51,2248,19,51,99.99,0.18
Actinomyces qiguomingii,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,28,37,42,2665280,66.8232983974874,3988549,RS_GCF_004102025.1,3440725,86.26508035879715,SAMN08120347,China: Haixi city; Qinghai province,4514.4m; 93.44391/35.36549167,35.3655 N 93.4439 E,TRUE,0,Actinomyces qiguomingii,none,9,49,3425,19,49,99.99,0.85
Actinomyces ruminicola,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,20,46,55,2163717,69.91163938711396,3103556,RS_GCF_900103885.1,2714045,87.44952564090998,SAMN05216355,none,none,none,TRUE,0,Actinomyces ruminicola,2526,6,49,2565,19,49,99.99,0.44
Actinomyces succiniciruminis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,25,37,45,2303175,69.299892582797,3331270,RS_GCF_900002405.1,2896020,86.93441240127639,SAMEA2537693,Netherlands,none,none,TRUE,0,Actinomyces succiniciruminis,none,4,50,2857,19,50,99.73,0.16
Actinomyces timonensis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,25,37,37,1765269,71.97952260179575,2452560,RS_GCF_040702965.1,2143105,87.38236781159279,SAMN41327304,none,none,none,TRUE,0,Actinomyces timonensis,none,9,50,2067,19,51,92.54,0.25
Actinomycetospora endophytica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,15,22.5,30,5123369,73.3777845887674,6982180,RS_GCF_021026375.1,6277881,89.91290685717068,SAMN23442360,Thailand,root,none,TRUE,0,Actinomycetospora endophytica,none,4,48,6641,19,47,96.67,3.19
Actinophytocola oryzae,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,12,23,30,7546382,70.48733650656627,10706011,RS_GCF_004364325.1,9811604,91.64574928981486,SAMN07621005,none,none,none,TRUE,0,Actinophytocola oryzae,none,5,63,9446,19,63,98.63,5.06
Actinophytocola xanthii,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,15,28,37,5983822,71.70002042984147,8345635,RS_GCF_001921205.1,7637201,91.51132298500951,SAMN05942569,China: Hebei,rhizosphere soil of Xanthium sibiricum,none,TRUE,0,Actinophytocola xanthii,7556,3,48,7656,19,48,97.7,1.75
Actinophytocola xinjiangensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,10,27.5,30,6837277,71.70312188009149,9535536,RS_GCF_001921215.1,8819053,92.48618011614658,SAMN05942565,China: Xinjiang,virgin forest soil,none,TRUE,0,Actinophytocola xinjiangensis,none,3,58,8331,19,57,99.26,1.39
Actinoplanes abujensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,20,27.5,37,6631619,71.0728011848148,9330741,RS_GCF_014204895.1,8424436,90.28689146982003,SAMN05878464,Nigeria: Abuja,none,9.08 N 7.53 E,TRUE,0,Paractinoplanes abujensis,none,12,75,8531,19,74,100,2.21
Actinoplanes campanulatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,18,25,35,7069808,70.8673679686034,9976112,RS_GCF_014647795.1,8958697,89.8014877940424,SAMD00245300,none,none,none,TRUE,0,Actinoplanes campanulatus,none,4,82,9210,19,78,100,1.38
Actinoplanes digitatis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,18,25,45,6559188,71.8535032426264,9128557,RS_GCF_014205335.1,8278270,90.68541720230262,SAMN05877860,none,none,none,TRUE,0,Amorphoplanes digitatis,none,9,71,7995,19,72,99.97,0.43
Actinoplanes hulinensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,18,28,32,6614182,70.93643491696837,9324237,RS_GCF_019429605.1,8390355,89.98436011439864,SAMN20346136,China: Heilongjiang,soybean root,none,FALSE,0,Actinoplanes hulinensis,none,4,87,8456,19,84,100,1.06
Actinoplanes ianthinogenes,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,15,32.5,37,7080790,71.53898550850563,9897806,RS_GCF_018324205.1,8864305,89.55828190611132,SAMD00219689,none,none,none,TRUE,0,Actinoplanes ianthinogenes,none,18,81,9027,19,79,100,1.18
Actinoplanes lichenis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,17,27,38,6488775,71.99638507695857,9012640,RS_GCF_030709675.1,8178973,90.75002441016171,SAMN36831099,Thailand: Mahasarakham,lichen tissue from bark of Buchanania latifolia,16.1922 N 103.1748 E,TRUE,0,Symbioplanes lichenis,none,5,55,8155,19,55,100,2.06
Actinoplanes lobatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,18,25,45,7366679,70.7944264954713,10405733,RS_GCF_014205215.1,9330858,89.67035767686909,SAMN05878390,none,none,none,TRUE,0,Actinoplanes lobatus,none,18,83,9399,19,79,100,2.28
Actinoplanes missouriensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,15,28,32,6378315,70.94860429029872,8991309,RS_GCF_040649475.1,8111530,90.21522895053434,SAMN41496367,none,none,none,FALSE,0,Actinoplanes missouriensis,none,5,55,8089,19,55,100,1.54
Actinoplanes rectilineatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,10,25.5,37,7285735,70.5961825125946,10320296,RS_GCF_000962825.1,9196741,89.11315140573487,SAMN03327476,USA: New Jersey; Somerset,garden soil,none,TRUE,0,Actinoplanes rectilineatus,9302,13,72,9501,19,74,100,0.74
Actinoplanes regularis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,18,25,35,7056760,70.344944182673,10031706,RS_GCF_900188005.1,8916960,88.88777242873745,SAMN06264365,none,none,none,TRUE,0,Actinoplanes regularis,8886,5,87,8974,19,86,100,1.33
Actinoplanes rishiriensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,20,30,37,7727176,70.83774473965866,10908275,RS_GCF_016862375.1,9803878,89.87560361285354,SAMD00230163,Japan:Hokkaido; Rishiri Island,Soil,none,TRUE,0,Paractinoplanes rishiriensis,none,4,50,9881,19,50,100,5.56
Actinoplanes siamensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,25,27.5,40,5878952,71.49732603411711,8222618,RS_GCF_016862395.1,7199173,87.55329506976975,SAMD00230164,Thailand:Khorn Kaen,Bamboo forest soil,none,TRUE,0,Actinoplanes siamensis,none,3,69,7465,19,72,100,1.07
